Site,Training_Rows,Testing_Rows,MAE,RMSE,R2,MAPE
BBO,7096,1774,6749.260732966856,9485.450729264207,0.815867067449773,758.9737813553733
BKN,508,127,24004.57091781496,30322.072967904387,0.27364573107415424,30.67431820507017
BTO,5660,1415,4422.298943121274,6258.154701962497,0.9007741853507081,22.438055313188336
EME,2889,723,4202.3474740731435,5785.076229841623,0.8157405606467567,23.197746111297285
GNT,4793,1199,1656.2832024003985,2835.382247115733,0.8725220171616492,31.513050479348585
HRN,508,127,2616.5929137703,3294.41023619416,0.0060528105058319515,51.43509427979198
LKM,3552,889,12249.126944337037,17188.93557344591,0.7101842969598147,51.239808088323045
MGT,3740,936,5402.601310579186,7839.0343363457705,0.749532243460425,35.14248445376851
MVB,504,126,19145.009920634922,25594.22115230263,0.21893216315341613,41.679606720419635
ORIC,506,127,942.1776094211368,1140.6004515786376,0.16993680704090786,42.92448313203812
RDP,3288,823,2689.3298818477015,3740.959657687168,0.9132709537401164,65.68260068225732
UDW,2511,628,2426.5171959992426,3403.537427831413,0.8441906770619134,38.390271103759446
VBL,297,75,5293.351796875,9535.212938404651,0.5966091484224847,16.51661961706114
WMB,3923,981,2686.1525132921006,3978.0504560228337,0.8104623191358328,35.57086013366176
