Site,Year,Month,Generation_kWh,Rainfall_mm,Average_Plant_Factor
BBO,2002,5,29760,2,39.16
BBO,2002,6,1173440,460.5,51.46666667
BBO,2002,7,1055200,0,44.78709677
BBO,2002,8,1179880,635.41,50.07935484
BBO,2002,9,332800,137.7,14.59
BBO,2002,10,897760,833.3,38.10580645
BBO,2002,11,1179400,520,51.72866667
BBO,2002,12,1225520,761.4,52.01677419
BBO,2003,1,912880,665.4,38.74677419
BBO,2003,2,479680,310.3,22.54071429
BBO,2003,3,1234560,847.4,52.4016129
BBO,2003,4,1497160,510.7,65.66533333
BBO,2003,5,945760,1580.6,40.14225806
BBO,2003,6,438920,449.7,19.25066667
BBO,2003,7,1270360,596.7,53.92064516
BBO,2003,8,1291360,541.4,54.8116129
BBO,2003,9,1132320,612.1,49.66333333
BBO,2003,10,1180320,434,50.09806452
BBO,2003,11,1351200,689.7,59.263
BBO,2003,12,706000,237.6,29.96516129
BBO,2004,1,517280,249,21.95483871
BBO,2004,2,393280,275.5,17.84517241
BBO,2004,3,498800,305,21.17032258
BBO,2004,4,1333120,1331.8,60.48586207
BBO,2004,5,1420640,1308.5,60.2983871
BBO,2004,6,1716480,809.7,75.28433333
BBO,2004,7,1407200,725.17,59.72903226
BBO,2004,8,697920,386.9,29.62290323
BBO,2004,9,1315040,1066.1,57.67566667
BBO,2004,10,1649440,884.6,70.01032258
BBO,2004,11,1220000,739.8,53.50866667
BBO,2004,12,1299360,761.95,55.15129032
BBO,2005,1,577920,302.3,24.53064516
BBO,2005,2,523400,337.1,24.59678571
BBO,2005,3,675680,778.8,29.635
BBO,2005,4,1162240,618.6,50.97466667
BBO,2005,5,607840,396.5,25.79935484
BBO,2005,6,983240,661,43.12466667
BBO,2005,7,993640,719,42.17548387
BBO,2005,8,662560,399,28.12193548
BBO,2005,9,1392640,814,61.082
BBO,2005,10,1331681,1321.4,56.52290323
BBO,2005,11,1872760,1042.5,82.138
BBO,2005,12,1124480,341.2,47.72806452
BBO,2006,1,1020640,636.1,43.32
BBO,2006,2,581760,372.3,27.33821429
BBO,2006,3,835680,882.9,35.46967742
BBO,2006,4,729760,547.5,32.00733333
BBO,2006,5,1000970,1016,42.48516129
BBO,2006,6,1078720,765.8,47.312
BBO,2006,7,897120,388.8,38.07806452
BBO,2006,8,1326080,976.1,56.28645161
BBO,2006,9,904480,468,39.67
BBO,2006,10,1024160,1124.7,43.47096774
BBO,2006,11,792480,1136.5,34.75866667
BBO,2006,12,1084320,408.8,46.02322581
BBO,2007,1,378400,133.9,16.06096774
BBO,2007,2,211200,238.9,9.925357143
BBO,2007,3,204160,284.5,8.665806452
BBO,2007,4,881280,922.5,38.652
BBO,2007,5,869280,596.5,36.89645161
BBO,2007,6,688800,679,30.21133333
BBO,2007,7,754720,462.9,32.03419355
BBO,2007,8,608160,970.5,26.674
BBO,2007,9,1817030,1133.4,79.693
BBO,2007,10,1992640,1354.9,84.57677419
BBO,2007,11,1299680,703.6,57.004
BBO,2007,12,711810,374.7,31.22033333
BBO,2008,1,556640,404.3,23.62677419
BBO,2008,2,741970,540.8,33.66551724
BBO,2008,3,1124480,947.5,49.319
BBO,2008,4,1033936,1078.2,48.58714286
BBO,2008,5,875680,602.4,37.16774194
BBO,2008,6,1084640,663.4,49.21344828
BBO,2008,7,936640,902.4,39.75612903
BBO,2008,8,688370,436.5,29.21774194
BBO,2008,9,679183,261.7,30.81551724
BBO,2008,10,1411997,1225.7,59.93193548
BBO,2008,11,1100169,771.7,48.22966667
BBO,2008,12,1256663,383.5,53.33870968
BBO,2009,1,278934,66.7,11.84
BBO,2009,2,136176,74.7,6.399285714
BBO,2009,3,549592,511.2,23.32645161
BBO,2009,4,999444,621.1,43.83466667
BBO,2009,5,990137,1120,42.02677419
BBO,2009,6,1949198,1071.4,85.49133333
BBO,2009,7,1051776,353.5,44.64193548
BBO,2009,8,915791,599.4,38.87129032
BBO,2009,9,1344441,876.6,58.96766667
BBO,2009,10,1554168,824.5,65.96612903
BBO,2009,11,1770666,971.6,77.66066667
BBO,2009,12,1395661,588,59.23935484
BBO,2010,1,575122,233.7,24.41064516
BBO,2010,2,434722,171.4,20.42821429
BBO,2010,3,235296,174.7,9.988064516
BBO,2010,4,825969,812.9,36.22733333
BBO,2010,5,1699038,1231.7,72.11645161
BBO,2010,6,1684857,1056.6,73.84966667
BBO,2010,7,1679378,799.5,70.53806452
BBO,2010,8,1207535,745.1,50.71677419
BBO,2010,9,1095986,614.2,47.57166667
BBO,2010,10,1349911,579.2,56.69806452
BBO,2010,11,1427811,1345.3,61.97066667
BBO,2010,12,1715013,682,72.03451613
BBO,2011,1,793553,395.9,33.33193548
BBO,2011,2,690006,279.5,32.09
BBO,2011,3,644265,439.6,27.05774194
BBO,2011,4,940370,877.86,40.81533333
BBO,2011,5,1181090,1079.8,49.60645161
BBO,2011,6,1134922,410.7,49.25666667
BBO,2011,7,594000,569,24.94935484
BBO,2011,8,682492,730.3,28.66677419
BBO,2011,9,1096443,931.73,47.589
BBO,2011,10,1034975,834.42,43.47193548
BBO,2011,11,1280473,629.6,55.57666667
BBO,2011,12,1034808,313,43.46419355
BBO,2012,1,324555,121.6,13.63225806
BBO,2012,2,385930,253.7,17.32413793
BBO,2012,3,437686,394.3,18.38354839
BBO,2012,4,1040387,318.2,45.155
BBO,2012,5,339542,204.8,14.26193548
BBO,2012,6,615568,458.3,26.71733333
BBO,2012,7,890901,589.5,37.42096774
BBO,2012,8,697104,403.4,29.27967742
BBO,2012,9,902743,442.9,39.182
BBO,2012,10,1314592,1378.72,55.21709677
BBO,2012,11,1914574,1242.6,83.09733333
