Site,Year,Month,Month_Name,Forecast_Generation_kWh,Average_Daily_Generation_kWh,Maximum_Daily_Generation_kWh,Minimum_Daily_Generation_kWh,Forecast_Rainfall_mm,Average_Daily_Rainfall_mm
BBO,2026,9,September,322425.33203125,32242.533203125,45353.1640625,26825.646484375,120.0,12.0
BBO,2026,10,October,1594329.72265625,51429.99105342742,62397.6640625,35003.484375,697.5,22.5
BBO,2026,11,November,1523685.48828125,50789.516276041664,56017.55078125,49493.8046875,600.0,20.0
BBO,2026,12,December,1128745.552734375,36411.1468623992,50525.8203125,27232.24609375,182.9,5.9
BBO,2027,1,January,327136.07275390625,10552.776540448589,23381.82421875,5550.43896484375,0.0,0.0
BBO,2027,2,February,169848.78466796875,6066.028023856027,6353.05322265625,5863.66064453125,0.0,0.0
BBO,2027,3,March,256683.66259765625,8280.118148311492,9269.060546875,6411.72705078125,93.0,3.0
BBO,2027,4,April,538782.3955078125,17959.41318359375,22244.294921875,11117.3369140625,400.5,13.35
BBO,2027,5,May,1255741.142578125,40507.77879284274,47537.51953125,24939.32421875,589.0,19.0
BBO,2027,6,June,1041771.13671875,34725.70455729167,44352.0859375,31148.62890625,450.0,15.0
BBO,2027,7,July,504695.857421875,16280.511529737903,27826.95703125,9971.4765625,217.0,7.0
BBO,2027,8,August,445089.29296875,14357.719128024193,17951.0078125,11531.9873046875,263.5,8.5
BBO,2027,9,September,380228.662109375,19011.43310546875,20009.681640625,17377.6640625,240.0,12.0
BKN,2026,9,September,1525467.015625,152546.7015625,159453.6875,146487.84375,0.0,0.0
BKN,2026,10,October,4749725.171875,153216.94102822582,160241.5,143322.3125,0.0,0.0
BKN,2026,11,November,4615609.8125,153853.66041666668,160419.28125,146973.96875,0.0,0.0
BKN,2026,12,December,4736096.40625,152777.30342741936,158515.78125,146303.453125,0.0,0.0
BKN,2027,1,January,4750985.984375,153257.61239919355,159476.09375,148136.6875,0.0,0.0
BKN,2027,2,February,4119866.046875,147138.07310267858,154471.671875,135461.34375,0.0,0.0
BKN,2027,3,March,4611708.75,148764.7983870968,158116.640625,134224.109375,0.0,0.0
BKN,2027,4,April,4328676.859375,144289.22864583333,155428.125,135682.640625,0.0,0.0
BKN,2027,5,May,4663206.03125,150426.00100806452,157955.09375,133483.234375,0.0,0.0
BKN,2027,6,June,4327163.6640625,144238.78880208332,158622.6875,115324.140625,0.0,0.0
BKN,2027,7,July,4552851.59375,146866.1804435484,159172.59375,132061.265625,0.0,0.0
BKN,2027,8,August,4718495.4375,152209.53024193548,157386.71875,145840.6875,0.0,0.0
BKN,2027,9,September,3071920.265625,153596.01328125,160682.21875,149802.53125,0.0,0.0
BTO,2026,9,September,593280.9296875,45636.994591346156,49762.7734375,42665.8984375,104.0,8.0
BTO,2026,10,October,1347807.02734375,43477.64604334677,46308.6796875,40094.06640625,310.0,10.0
BTO,2026,11,November,979192.193359375,32639.739778645835,40558.12109375,30283.19140625,112.5,3.75
BTO,2026,12,December,469614.77734375,15148.863785282258,31519.11328125,9872.4296875,0.0,0.0
BTO,2027,1,January,511693.7822265625,16506.251039566534,18768.701171875,13675.484375,0.0,0.0
BTO,2027,2,February,593526.22265625,21197.365094866072,22882.455078125,18812.3984375,0.0,0.0
BTO,2027,3,March,744867.07421875,24027.97013608871,28034.294921875,21380.83203125,0.0,0.0
BTO,2027,4,April,933994.283203125,31133.1427734375,36401.77734375,26287.796875,187.5,6.25
BTO,2027,5,May,1310987.3203125,42289.91355846774,46496.98046875,34942.09375,403.0,13.0
BTO,2027,6,June,1396176.0390625,46539.20130208333,47588.7421875,44460.56640625,240.0,8.0
BTO,2027,7,July,897690.65234375,28957.762978830644,43801.50390625,20545.79296875,0.0,0.0
BTO,2027,8,August,1063071.603515625,34292.63237147177,37211.92578125,32051.970703125,124.0,4.0
BTO,2027,9,September,625720.50390625,36807.08846507353,37563.8203125,34753.40625,136.0,8.0
EME,2026,9,September,258479.591796875,25847.9591796875,32176.673828125,23784.185546875,40.0,4.0
EME,2026,10,October,788425.931640625,25433.09456905242,27527.806640625,23407.34765625,124.0,4.0
EME,2026,11,November,1001380.09765625,33379.336588541664,36337.51953125,27206.95703125,180.0,6.0
EME,2026,12,December,635258.4658203125,20492.20857484879,31466.837890625,14518.640625,0.0,0.0
EME,2027,1,January,238675.8953857422,7699.222431798135,16861.39453125,0.0,0.0,0.0
EME,2027,2,February,10629.467958450317,379.62385565893993,2091.408447265625,0.0,0.0,0.0
EME,2027,3,March,86504.29479980469,2790.4611225743447,7257.64501953125,1299.4619140625,0.0,0.0
EME,2027,4,April,247971.18603515625,8265.706201171875,9303.95703125,7003.7578125,30.0,1.0
EME,2027,5,May,502564.2802734375,16211.7509765625,18867.23046875,9634.6884765625,155.0,5.0
EME,2027,6,June,503384.36328125,16779.478776041666,17389.021484375,16247.03125,120.0,4.0
EME,2027,7,July,336449.9140625,10853.223034274193,15897.4052734375,8742.546875,0.0,0.0
EME,2027,8,August,460796.43359375,14864.401083669354,17151.9140625,8608.767578125,62.0,2.0
EME,2027,9,September,333710.8837890625,16685.544189453125,17472.330078125,15732.10546875,80.0,4.0
GNT,2026,9,September,122170.546875,12217.0546875,18817.017578125,9438.060546875,80.0,8.0
GNT,2026,10,October,432380.9189453125,13947.77157888105,17904.22265625,9291.822265625,424.7,13.7
GNT,2026,11,November,363486.2822265625,12116.209407552084,16965.71875,8976.0859375,294.0,9.8
GNT,2026,12,December,183497.55737304688,5919.276044291834,9054.9228515625,2601.732666015625,6.2,0.2
GNT,2027,1,January,78686.705078125,2538.280808971774,3010.656494140625,2167.641845703125,0.0,0.0
GNT,2027,2,February,27585.89877319336,985.2106704711914,2189.81005859375,268.6983947753906,0.0,0.0
GNT,2027,3,March,2312.3826622366905,74.59298910440937,277.1060485839844,0.0,0.0,0.0
GNT,2027,4,April,138634.7937927246,4621.15979309082,6328.1591796875,477.4928894042969,85.5,2.85
GNT,2027,5,May,167110.31884765625,5390.655446698589,6404.0908203125,4678.88427734375,310.0,10.0
GNT,2027,6,June,250548.97021484375,8351.632340494793,10291.3330078125,6293.12060546875,207.0,6.9
GNT,2027,7,July,223393.9482421875,7206.256394909275,9947.0615234375,5864.7021484375,32.550000000000004,1.05
GNT,2027,8,August,278824.1337890625,8994.326896421371,10100.5791015625,6759.27783203125,142.6,4.6
GNT,2027,9,September,198640.8115234375,9932.040576171876,11758.1484375,8651.0498046875,160.0,8.0
HRN,2026,9,September,86398.17822265625,8639.817822265624,10708.4755859375,6325.91357421875,0.0,0.0
HRN,2026,10,October,276316.88525390625,8913.447911416331,11657.7021484375,5362.5078125,0.0,0.0
HRN,2026,11,November,255367.81494140625,8512.260498046875,11178.38671875,4702.31005859375,0.0,0.0
HRN,2026,12,December,276532.521484375,8920.403918850807,11016.3876953125,6586.107421875,0.0,0.0
