Site,Forecast_Days,Forecast_Start_Date,Forecast_End_Date,Total_Forecast_Generation_kWh,Average_Daily_Generation_kWh,Maximum_Daily_Generation_kWh,Minimum_Daily_Generation_kWh,Total_Forecast_Rainfall_mm,Average_Daily_Rainfall_mm
BBO,365,2026-09-21,2027-09-20,9489163.103027344,25997.707131581763,62397.6640625,5550.43896484375,3853.4,10.557260273972602
BKN,365,2026-09-21,2027-09-20,54771773.0390625,150059.65216181506,160682.21875,115324.140625,0.0,0.0
BTO,365,2026-09-18,2027-09-17,11467622.409179688,31418.143586793663,49762.7734375,9872.4296875,1617.0,4.4301369863013695
EME,365,2026-09-21,2027-09-20,5404230.806093216,14806.11179751566,36337.51953125,0.0,791.0,2.1671232876712327
GNT,365,2026-09-21,2027-09-20,2467273.268343389,6759.6527899818875,18817.017578125,0.0,1742.55,4.774109589041096
HRN,365,2026-09-21,2027-09-20,3466497.1459960938,9497.252454783818,13195.595703125,4702.31005859375,0.0,0.0
LKM,365,2026-09-21,2027-09-20,9949880.032226562,27259.945293771405,72965.375,6837.3896484375,1100.91,3.016191780821918
MGT,365,2026-09-21,2027-09-20,7586936.418701172,20786.127174523757,45882.01171875,3140.23095703125,1699.2,4.655342465753424
MVB,365,2026-09-16,2027-09-15,28286978.9921875,77498.57258133561,141189.015625,33838.390625,0.0,0.0
ORIC,365,2026-09-19,2027-09-18,1301697.5354003906,3566.294617535317,4831.68896484375,2075.8740234375,0.0,0.0
RDP,365,2026-09-21,2027-09-20,4517947.367675781,12377.937993632277,35258.09765625,2560.728515625,261.85,0.7173972602739727
UDW,365,2026-09-02,2027-09-01,2102364.3191223145,5759.902244170725,17456.173828125,390.2276916503906,357.8,0.9802739726027397
VBL,365,2025-12-26,2026-12-25,25486165.6640625,69825.11140839041,75686.1953125,42665.26171875,0.0,0.0
WMB,365,2026-09-21,2027-09-20,4379965.728637695,11999.9061058567,26269.21484375,1208.4273681640625,2013.6,5.516712328767123
