Site,Records,Start_Date,End_Date,Total_Generation_kWh,Average_Generation_kWh,Maximum_Generation_kWh,Average_Rainfall_mm,Total_Rainfall_mm,Average_Plant_Factor
BBO,8870,5/31/2002,9/20/2026,293103845,33044.40192,95810,24.51533822,217451.05,43.17525592
BKN,635,12/25/2024,9/20/2026,81814743.35,128842.1155,162521,0.100125984,63.58,82.59089764
BTO,7075,5/1/2007,9/17/2026,216186168,30556.34883,99921,16.47947703,116592.3,53.30314064
EME,3612,10/31/2016,9/20/2026,97140546,26893.83887,49011,8.658806755,31275.61,56.02909468
GNT,5992,4/25/2010,9/20/2026,54748912.8,9137.001469,30812,13.75800067,82437.94,31.72508178
HRN,635,12/25/2024,9/20/2026,5986950,9428.267717,16740,0,0,19.64297638
LKM,4441,7/25/2014,9/20/2026,208034388,46844.04143,99689,8.701970277,38645.45,48.77945508
MGT,4676,12/1/2013,9/20/2026,116569960,24929.41831,60914,14.69823781,68728.96,41.54948033
MVB,630,12/25/2024,9/15/2026,54981974,87272.9746,157414,0,0,55.94412698
ORIC,633,12/25/2024,9/18/2026,2267380,3581.958926,5730,0,0,14.92556082
RDP,4111,6/20/2015,9/20/2026,63674890,15488.90538,40083,7.411877889,30470.23,36.87836779
UDW,3139,1/28/2018,9/1/2026,29698335,9461.081555,26701,7.772535839,24397.99,28.15811086
VBL,372,12/19/2024,12/25/2025,25307200,68030.10753,74744,0,0,89.98712366
WMB,4904,4/18/2013,9/20/2026,71328372,14544.93719,30796,13.90366436,68183.57,46.61847064
