Site,Month,Average_Generation,Average_Rainfall
BBO,1,18890.38844,10.81903226
BBO,2,14323.74631,11.21457227
BBO,3,17121.51078,15.85063342
BBO,4,29121.17713,25.64949791
BBO,5,36465.60403,42.74622819
BBO,6,43947.18291,30.21654206
BBO,7,33279.04774,19.33947097
BBO,8,32200.52842,22.74303618
BBO,9,39437.92287,28.43733424
BBO,10,46666.07124,36.29826613
BBO,11,47887.62778,31.51445833
BBO,12,35818.02288,18.66152086
BKN,1,127548.4187,0
BKN,2,90041.49214,0
BKN,3,85523.23323,0
BKN,4,148101.284,0
BKN,5,146586.3303,0
BKN,6,127969.7137,0
BKN,7,119774.5265,0.016451613
BKN,8,146496.3782,0
BKN,9,127173.0052,1.2512
BKN,10,153142.2065,0
BKN,11,153401.4713,0
BKN,12,149801.7405,0
BTO,1,11149.86882,4.09471891
BTO,2,8737.657356,5.730707635
BTO,3,11055.95416,8.445585739
BTO,4,24628.07895,17.82885965
BTO,5,39419.03554,26.5852504
BTO,6,45842.00333,21.25111667
BTO,7,37379.08387,12.45209677
BTO,8,36266.75606,18.47917609
BTO,9,41794.37372,31.05069966
BTO,10,43810.52122,21.90208829
BTO,11,37942.50702,19.71531579
BTO,12,25375.62479,8.955500849
EME,1,23960.56774,5.119516129
EME,2,14828.33333,3.186028369
EME,3,14608.18387,6.243806452
EME,4,23659.82667,11.24686667
EME,5,30597.73548,13.45403226
EME,6,33070.89667,9.023566667
EME,7,22552.22258,4.807741935
EME,8,21909.53226,6.882387097
EME,9,28712.48966,11.47765517
EME,10,35632.40357,12.05414286
EME,11,38412.61333,12.80436667
EME,12,35120.98387,7.850677419
GNT,1,4402.619758,4.893810484
GNT,2,2313.634735,2.855973451
GNT,3,1552.64404,4.808868687
GNT,4,4622.926543,11.63997942
GNT,5,10367.77078,22.98728653
GNT,6,13822.91725,15.31031373
GNT,7,9600.753321,11.37952562
GNT,8,10592.74782,15.86242884
GNT,9,11595.6516,19.7146
GNT,10,14394.46069,24.27096774
GNT,11,15775.88354,21.83495833
GNT,12,9755.58246,8.118427419
HRN,1,8606.080645,0
HRN,2,10802.83929,0
HRN,3,11734.25806,0
HRN,4,10322.5,0
HRN,5,7475.758065,0
HRN,6,8874.85,0
HRN,7,9926.419355,0
HRN,8,9140.564516,0
HRN,9,9098.16,0
HRN,10,8971.258065,0
HRN,11,7946.7,0
HRN,12,9262.657895,0
LKM,1,27276.63978,3.613091398
LKM,2,16183.79351,2.813539823
LKM,3,15228.66935,2.267795699
LKM,4,21887.98056,7.119083333
LKM,5,42367.02419,15.09005376
LKM,6,62135.14722,9.172833333
LKM,7,60375.54881,10.43841689
LKM,8,62937.88337,10.05119107
LKM,9,58156.82105,9.379815789
LKM,10,72030.69086,13.98994624
LKM,11,68429.69722,11.48758333
LKM,12,50944.21505,8.372231183
MGT,1,17228.75434,5.022630273
MGT,2,9115.899183,8.066239782
MGT,3,10289.64764,9.422084367
MGT,4,22552.05385,19.72112821
MGT,5,31329.21092,31.69722084
MGT,6,31922.3641,20.05976923
MGT,7,20680.92556,9.039205955
MGT,8,21021.38958,10.26682382
MGT,9,31307.84211,16.97476316
MGT,10,36296.4543,17.4619086
MGT,11,38856.75556,19.21397222
MGT,12,30025.09453,9.988308458
MVB,1,63142.17742,0
MVB,2,81925.875,0
MVB,3,101922.1452,0
MVB,4,119683.9667,0
MVB,5,133647.9194,0
MVB,6,77820.36667,0
MVB,7,54172.80645,0
MVB,8,60188.35484,0
MVB,9,66015.95556,0
MVB,10,102604.7419,0
MVB,11,118558.0667,0
MVB,12,84871.23684,0
ORIC,1,2995.645161,0
ORIC,2,3672.142857,0
ORIC,3,4052.419355,0
ORIC,4,3485.333333,0
ORIC,5,3460.322581,0
ORIC,6,3698,0
ORIC,7,3963.225806,0
ORIC,8,3785.16129,0
ORIC,9,3962.916667,0
ORIC,10,3490.967742,0
ORIC,11,2870.666667,0
ORIC,12,3006.842105,0
RDP,1,23693.91202,6.759794721
RDP,2,17786.70096,5.371382637
RDP,3,14032.30205,3.424604106
RDP,4,16357.64242,6.078878788
RDP,5,18630.94135,6.484956012
RDP,6,9554.633431,1.123225806
RDP,7,7041.833333,2.307069892
RDP,8,5767.260753,15.65752688
RDP,9,6905.882857,4.604742857
RDP,10,16970.21114,11.93463343
RDP,11,25875.91515,15.04563636
RDP,12,25693.10264,9.962375367
UDW,1,15895.69841,9.235039683
UDW,2,11684.95669,6.81496063
UDW,3,8240.046595,2.917383513
UDW,4,10054.08148,6.862703704
UDW,5,11752.12545,5.976308244
UDW,6,4354.588889,1.947851852
UDW,7,2428.304659,3.116308244
UDW,8,2552.408602,4.12437276
UDW,9,3926.095436,5.754771784
UDW,10,11269.67742,14.68141129
UDW,11,17218.0375,22.03416667
UDW,12,16102.68548,12.67471774
VBL,1,71061.93548,0
VBL,2,71215.71429,0
VBL,3,73530.96774,0
VBL,4,36357.46667,0
VBL,5,71588.90323,0
VBL,6,71272,0
VBL,7,73896.77419,0
VBL,8,71419.35484,0
VBL,9,71978.66667,0
VBL,10,68133.41935,0
VBL,11,64790.4,0
VBL,12,70069.26316,0
WMB,1,8393.851117,5.904466501
WMB,2,5559.564033,6.089100817
WMB,3,5543.560794,8.17146402
WMB,4,11594.15881,12.56076923
WMB,5,16890.47926,26.32099078
WMB,6,20369.1119,18.96266667
WMB,7,13455.1106,10.46898618
WMB,8,14884.64055,13.46516129
WMB,9,18156.50732,20.06026829
WMB,10,20765.37717,17.87885856
WMB,11,21953.3641,15.648
WMB,12,15978.69727,9.693846154
