Site,Year,Generation_kWh,Average_Generation_kWh,Rainfall_mm,Average_Plant_Factor
BBO,2002,7073760.0,32901.20930232558,3350.31,43.290139534883714
BBO,2003,12440520.0,34083.61643835616,7475.6,44.846794520547945
BBO,2004,13468560.0,36900.16438356164,8844.02,48.5526301369863
BBO,2005,11908081.0,32714.50824175824,7731.4,43.04552197802198
BBO,2006,11276170.0,30893.616438356163,8723.5,40.649452054794516
BBO,2007,10417160.0,28697.41046831956,7855.3,37.759807162534436
BBO,2008,11490368.0,31829.274238227146,8218.1,41.87880886426593
BBO,2009,12935984.0,35441.05205479452,7678.7,46.633095890410964
BBO,2010,13930638.0,38166.13150684931,8446.3,49.89630136986302
BBO,2011,11107397.0,30431.224657534247,7491.41,39.623698630136985
BBO,2012,10024966.0,27390.617486338797,6307.72,35.66459016393443
BBO,2013,14338657.0,39283.99178082192,9012.1,51.15087671232877
BBO,2014,11580711.0,31727.975342465754,8528.44,41.31241095890411
BBO,2015,12511200.0,34277.260273972606,8414.5,44.632
BBO,2016,8131203.0,22216.40163934426,9571.2,28.927349726775955
BBO,2017,11286787.0,30922.70410958904,9747.13,40.26386301369863
BBO,2018,12151303.0,33291.24109589041,8248.36,43.34808219178082
BBO,2019,12105560.0,33165.91780821918,5270.3,43.184876712328766
BBO,2020,9727276.0,26577.256830601094,9129.19,34.605737704918035
BBO,2021,15973981.0,43764.33150684932,13307.88,56.982383561643836
BBO,2022,12634808.0,34615.912328767125,11457.23,45.072712328767125
BBO,2023,14384511.0,39409.61917808219,11586.86,51.31479452054795
BBO,2024,13365744.0,36518.42622950819,13592.6,47.5501912568306
BBO,2025,11655200.0,31932.054794520547,11712.2,41.57849315068493
BBO,2026,7183300.0,27312.927756653993,5750.7,35.563840304182506
BKN,2024,1058957.0,151279.57142857142,0.0,96.9742857142857
BKN,2025,49895866.46,136701.00400000002,1.02,87.6286301369863
BKN,2026,30859919.89,117338.09844106463,62.559999999999995,75.21653992395437
BTO,2007,7794237.0,31943.594262295082,1615.0,66.54954918032787
BTO,2008,10821443.0,29566.784153005465,4560.1,61.59743169398907
BTO,2009,10431245.0,28657.266483516483,4136.7,59.70266483516484
BTO,2010,11349104.0,31178.85714285714,4734.4,64.9564010989011
BTO,2011,10408968.0,28517.720547945206,3579.0,59.412109589041094
BTO,2012,9291325.0,25386.13387978142,3618.0,52.88765027322405
BTO,2013,10707542.0,29335.731506849315,4067.0,51.874712328767124
BTO,2014,11789594.0,32300.257534246575,4162.3,51.763260273972605
BTO,2015,12772063.0,34991.953424657535,3994.45,56.07684931506849
BTO,2016,8962650.0,24488.114754098362,3226.56,39.243879781420766
BTO,2017,11491665.0,31570.50824175824,6108.71,50.59403846153846
BTO,2018,11558647.0,31667.52602739726,6123.67,50.74945205479452
BTO,2019,11046761.0,30265.098630136985,16377.289999999999,48.5018904109589
BTO,2020,10068847.0,27510.51092896175,7380.05,44.087322404371584
BTO,2021,14583494.0,40064.543956043955,13157.36,64.20596153846154
BTO,2022,11775473.0,32261.569863013698,8928.460000000001,51.70104109589041
BTO,2023,11481790.0,31456.95890410959,6446.15,50.41150684931507
BTO,2024,11574471.0,31624.237704918032,5516.25,50.680109289617484
BTO,2025,10934159.0,29956.6,4114.84,48.00720547945206
BTO,2026,7342690.0,28241.115384615383,4746.01,45.25796153846154
EME,2016,1371752.0,22125.032258064515,739.21,46.094032258064516
EME,2017,7314709.0,20040.298630136986,2786.73,41.7507397260274
EME,2018,9131421.0,25017.591780821916,2791.45,52.12
EME,2019,9771115.0,26770.178082191782,3031.83,55.77139726027398
EME,2020,8463214.0,23123.535519125682,2897.93,48.17420765027322
EME,2021,12603059.0,34528.92876712329,3807.0,71.93550684931506
EME,2022,12157471.0,33308.139726027395,3980.0,69.39224657534245
EME,2023,11595788.0,31769.28219178082,3474.0,66.18630136986302
EME,2024,11549638.0,31556.387978142076,4023.34,65.74295081967213
EME,2025,7948104.0,21775.627397260276,2591.0,45.366383561643836
EME,2026,5234275.0,19902.18631178707,1153.12,41.46326996197719
GNT,2010,3508422.0,13977.776892430278,4751.4,48.53390438247012
GNT,2011,3041166.0,8331.961643835617,3979.6,28.93035616438356
GNT,2012,2474045.0,6759.685792349726,1742.55,23.471010928961746
GNT,2013,4083450.0,11187.534246575342,1742.55,38.845561643835616
GNT,2014,3563572.4,9763.21205479452,1824.85,33.900164383561645
GNT,2015,3663057.2,10035.773150684932,1264.19,34.84646575342465
GNT,2016,1924599.2,5258.467759562842,722.38,18.248387978142077
GNT,2017,3042700.0,8336.164383561643,3725.94,28.945095890410958
GNT,2018,3332677.0,9155.706043956045,6023.32,31.79063186813187
GNT,2019,2822566.0,7733.057534246575,4344.77,26.8507397260274
GNT,2020,2935150.0,8019.535519125683,6701.18,27.84546448087432
GNT,2021,4587784.0,12569.271232876712,10400.9,43.643369863013696
GNT,2022,3541302.0,9702.197260273973,9431.3,33.68830136986301
GNT,2023,3657652.0,10020.964383561644,8156.7,34.79482191780822
GNT,2024,3947443.0,10785.363387978143,8658.8,37.44934426229508
GNT,2025,2799160.0,7668.931506849315,6842.66,26.628301369863014
GNT,2026,1824167.0,6935.996197718631,2124.85,24.08357414448669
HRN,2024,75195.0,10742.142857142857,0.0,22.38
HRN,2025,3407403.0,9335.350684931507,0.0,19.449424657534248
HRN,2026,2504352.0,9522.250950570342,0.0,19.83874524714829
LKM,2014,11587628.0,72422.675,948.53,75.4405
LKM,2015,18684555.0,51190.561643835616,1271.17,53.32342465753425
LKM,2016,13976880.0,38188.19672131148,1384.01,39.77959016393443
LKM,2017,15335024.0,42013.76438356165,1494.75,43.76446575342466
LKM,2018,20073370.0,54995.53424657534,5364.7,57.28709589041096
LKM,2019,15615447.0,42782.046575342465,3651.2200000000003,44.5647397260274
LKM,2020,16772071.0,45825.33060109289,3627.4,47.73486338797814
LKM,2021,22335907.0,61194.26575342466,4244.32,63.74386301369863
LKM,2022,18464365.0,50587.30136986302,4082.17,52.49405479452055
LKM,2023,16567778.0,45391.17260273972,3580.28,47.28268493150685
LKM,2024,10479739.0,28633.166666666668,3927.62,29.82633879781421
LKM,2025,17160530.0,47015.150684931505,3328.83,48.97432876712329
LKM,2026,10981094.0,41753.20912547529,1740.45,43.49315589353613
MGT,2013,901516.0,30050.533333333333,256.0,50.086
MGT,2014,9948895.0,27257.246575342466,4366.2,45.429452054794524
MGT,2015,10670886.0,29235.30410958904,3609.95,48.72641095890411
MGT,2016,6392772.0,17466.590163934427,2352.67,29.11174863387978
MGT,2017,8061965.0,22087.575342465752,4832.97,36.81328767123288
MGT,2018,9373192.0,25679.97808219178,17011.62,42.80084931506849
MGT,2019,9390732.0,25728.03287671233,5421.7,42.88071232876712
MGT,2020,6912204.0,18885.803278688523,4986.4,31.476612021857925
MGT,2021,11226170.0,30756.630136986303,4147.4,51.26128767123287
MGT,2022,9960972.0,27290.33424657534,4924.6,45.4841095890411
MGT,2023,10109444.0,27697.106849315067,5656.6,46.16191780821917
MGT,2024,10732380.0,29323.44262295082,4871.25,48.87232240437159
MGT,2025,7194407.0,19710.70410958904,3962.5,32.851123287671236
MGT,2026,5694425.0,21651.80608365019,2329.1,36.08684410646388
MVB,2024,606250.0,86607.14285714286,0.0,55.51571428571429
MVB,2025,32031683.0,87758.03561643836,0.0,56.25509589041096
MVB,2026,22344041.0,86604.81007751937,0.0,55.51581395348837
ORIC,2024,26240.0,3748.5714285714284,0.0,15.620000000000001
ORIC,2025,1297170.0,3553.890410958904,0.0,14.80854794520548
ORIC,2026,943970.0,3616.743295019157,0.0,15.070574712643678
RDP,2015,3736998.0,19164.092307692306,1942.76,45.62871794871795
RDP,2016,3841369.0,10495.543715846994,1878.46,24.989426229508194
RDP,2017,4143344.0,11351.627397260274,7585.26,27.02769863013699
RDP,2018,6581840.0,18032.438356164384,3802.85,42.93449315068493
RDP,2019,4778107.0,13090.704109589042,2550.18,31.16832876712329
RDP,2020,3691066.0,10084.879781420765,2055.41,24.011721311475412
RDP,2021,6260944.0,17153.271232876712,1891.85,40.84104109589041
RDP,2022,6320447.0,17316.29315068493,2283.57,41.229369863013694
RDP,2023,6414144.0,17572.997260273973,1963.0,41.84035616438356
RDP,2024,6497563.0,17752.9043715847,1451.16,42.26907103825136
RDP,2025,7608316.0,20844.701369863014,2121.38,49.63008219178082
RDP,2026,3800752.0,14451.528517110266,944.35,34.40844106463879
UDW,2018,3789860.0,11212.603550295858,1876.03,33.37094674556213
UDW,2019,2971107.0,8140.0191780821915,4087.63,24.22621917808219
UDW,2020,2028457.0,5542.232240437159,2922.3,16.494863387978143
UDW,2021,3609841.0,9889.975342465754,3209.65,29.434712328767123
UDW,2022,3409558.0,9341.254794520548,2592.04,27.80158904109589
UDW,2023,3686452.0,10099.868493150685,4357.42,30.05931506849315
UDW,2024,3612017.0,9868.898907103825,2820.6,29.37166666666667
UDW,2025,4266175.0,11688.150684931506,1956.42,34.78630136986301
UDW,2026,2324868.0,9528.147540983606,575.9,28.35782786885246
VBL,2024,955000.0,73461.53846153847,0.0,97.17076923076924
VBL,2025,24352200.0,67833.42618384401,0.0,89.72699164345404
WMB,2013,4321219.0,16748.91085271318,2322.0,53.68255813953488
