Site,Year,Total_Forecast_Generation_kWh,Average_Daily_Generation_kWh,Maximum_Daily_Generation_kWh,Minimum_Daily_Generation_kWh,Total_Forecast_Rainfall_mm,Average_Daily_Rainfall_mm
BBO,2026,4569186.096,44795.94211,62397.66406,26825.64648,1600.4,15.69019608
BBO,2027,4919977.007,18707.13691,47537.51953,5550.438965,2253,8.566539924
BKN,2026,15626898.41,153204.8863,160419.2813,143322.3125,0,0
BKN,2027,39144874.63,148839.8275,160682.2188,115324.1406,0,0
BTO,2026,3389894.928,32284.7136,49762.77344,9872.429688,526.5,5.014285714
BTO,2027,8077727.481,31068.18262,47588.74219,13675.48438,1090.5,4.194230769
EME,2026,2683544.087,26309.25575,36337.51953,14518.64063,344,3.37254902
EME,2027,2720686.719,10344.81642,18867.23047,0,447,1.699619772
GNT,2026,1101535.305,10799.36574,18817.01758,2601.732666,804.9,7.891176471
GNT,2027,1365737.963,5192.920011,11758.14844,0,937.65,3.565209125
HRN,2026,894615.3999,8770.739215,11657.70215,4702.310059,0,0
HRN,2027,2571881.746,9779.018046,13195.5957,6010.503906,0,0
LKM,2026,6246589.863,61241.07709,72965.375,40674.53125,506.11,4.961862745
LKM,2027,3703290.169,14080.95121,37224.53906,6837.389648,594.8,2.261596958
MGT,2026,2818622.935,27633.55818,39919.50781,8534.529297,721,7.068627451
MGT,2027,4768313.484,18130.46952,45882.01172,3140.230957,978.2,3.719391635
MVB,2026,10295074.2,96215.64676,141189.0156,66693.95313,0,0
MVB,2027,17991904.79,69736.06507,121421.0078,33838.39063,0,0
ORIC,2026,351933.0718,3383.971844,4571.019531,2601.190674,0,0
ORIC,2027,949764.4636,3638.944305,4831.688965,2075.874023,0,0
RDP,2026,2733462.425,26798.65123,35258.09766,6608.196289,261.85,2.567156863
RDP,2027,1784484.942,6785.113849,22764.60938,2560.728516,0,0
UDW,2026,1215104.097,10042.18262,17456.17383,390.2276917,357.8,2.957024793
UDW,2027,887260.2225,3636.312387,11906.30176,805.861084,0,0
VBL,2025,413924.8672,68987.47786,72163.07031,65777.33594,0,0
VBL,2026,25072240.8,69839.11085,75686.19531,42665.26172,0,0
WMB,2026,1975289.744,19365.58573,26269.21484,6051.687988,654,6.411764706
WMB,2027,2404675.984,9143.254694,22262.29688,1208.427368,1359.6,5.169581749
